"Name","Latitude","Longitude","Elevation","X","Y","Z"
"WILL00CAN","52.2369","237.8322","1096.1000","-2083907.0931","-3313315.6584","5019001.5070"
"WIND00NAM","-21.4251","17.0894","1735.1000","5677793.2623","1745572.3346","-2315282.1961"
"WLSN00USA","34.2261","241.9441","1705.7000","-2482990.0109","-4658850.6775","3567228.8599"
"WROC00POL","51.1133","17.0620","180.7000","3835643.5461","1177215.9780","4941468.1173"
"WSRT00NLD","52.9146","6.6045","86.4000","3828687.5226","443298.9936","5064820.2633"
"WTZ300DEU","49.1448","12.8786","663.8000","4075120.1205","931728.2497","4801115.2712"
"WTZA00DEU","49.1442","12.8789","666.4000","4075161.1883","931758.4292","4801074.8887"
"WTZR00DEU","49.1442","12.8789","666.5000","4075163.4672","931758.9502","4801072.8692"
"WTZS00DEU","49.1448","12.8786","663.9000","4075120.1216","931728.2500","4801115.2725"
"WTZZ00DEU","49.1442","12.8789","666.3000","4075161.1872","931758.4289","4801074.8874"
"WUH200CHN","30.5316","114.3572","25.5000","-2267739.6610","5009135.5406","3221276.4514"
"WUHN00CHN","30.5317","114.3572","28.6000","-2267739.0350","5009134.1579","3221279.1314"
"WUTH00NOR","77.0025","15.5386","52.7000","1386480.0881","385511.3418","6192836.9229"
"XMIS00AUS","-9.5500","105.6885","261.9000","-1700949.8693","6055987.6163","-1051202.2227"
"YAKT00RUS","62.0310","129.6803","103.8000","-1914967.8637","2308203.8398","5610136.4761"
"YAR200AUS","-28.9534","115.3470","241.7000","-2391078.6553","5047651.3901","-3069389.1732"
"YAR300AUS","-28.9535","115.3472","242.9000","-2391094.5172","5047640.5982","-3069394.5712"
"YARR00AUS","-28.9534","115.3470","241.8000","-2391079.2940","5047652.7384","-3069386.4800"
"YEBE00ESP","40.5249","356.9114","973.2000","4848000.0443","-261594.1837","4122472.1101"
"YEL200CAN","62.4813","245.5192","181.5000","-1224406.8209","-2689099.0555","5633503.2674"
"YELL00CAN","62.4809","245.5193","181.2000","-1224418.5055","-2689142.0024","5633480.3756"
"YIBL00OMN","22.1865","56.1123","95.5000","3294504.3270","4905020.0814","2393545.7142"
